start-geopoint,_start-geopoint_latitude,_start-geopoint_longitude,_start-geopoint_altitude,_start-geopoint_precision,Region_faci,Facility_id4,gps,_gps_latitude,_gps_longitude,_gps_altitude,_gps_precision
,,,,,6,4,13.6388051 39.1739716 2599.6 4.9,13.6388051,39.1739716,2599.6,4.9
14.1142967 38.6015533 2231.2 556.777,14.1142967,38.6015533,2231.2,556.777,6,7,14.1142115 38.6014954 2229.8999999999996 3.94,14.1142115,38.6014954,2229.9,3.94
14.114215 38.601495 2229.8999999999996 96.989,14.114215,38.601495,2229.9,96.989,6,7,14.1141261 38.6012688 2227.2 4.512,14.1141261,38.6012688,2227.2,4.512
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.9365873 39.5169977 0.0 3200.0,12.9365873,39.5169977,0,3200,6,2,12.9375824 39.5168302 2502.2 4.58,12.9375824,39.5168302,2502.2,4.58
12.9365873 39.5169977 2501.5 3200.0,12.9365873,39.5169977,2501.5,3200,6,2,12.9375414 39.5167224 2482.2999999999997 4.383,12.9375414,39.5167224,2482.3,4.383
12.9374601 39.5166689 2489.8999999999996 5.6,12.9374601,39.5166689,2489.9,5.6,6,2,12.937461 39.5166922 2469.7 4.083,12.937461,39.5166922,2469.7,4.083
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8646959 39.7364583 2682.7 7.008,13.8646959,39.7364583,2682.7,7.008,6,5,13.8652421 39.7382791 2682.7999999999997 9.966,13.8652421,39.7382791,2682.8,9.966
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8662383 39.7361097 0.0 300.0,13.8662383,39.7361097,0,300
13.8660047 39.7357876 0.0 200.0,13.8660047,39.7357876,0,200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
